,link,name,username,text,date,retweeted,No_of_likes,No-of_retweets
0,https://twitter.com/PricePally/status/1700155447808770484#m,PricePally,@PricePally,"Our customers' reactions anytime they get their orders..🥳 POV : Have you seen the movie #jagunjagunmovie ?  Which was your best screen in the movie  PricePally =Fresher, Cheaper and Better   📍 Lagos, Abuja and Port-Harcourt   #pricepally #jagunjagun","Sep 8, 2023 · 2:33 PM UTC",False,1,0
1,https://twitter.com/Olalekanakogun/status/1700037937654591897#m,Director Lẹykìí,@Olalekanakogun,"That said, communication is 2-ways, Are You Willing/Open and Available to Communicate? https://olalekanakogun.blogspot.com/2023/09/jagun-jagun-and-culture-of-misplaced.html #JagunJagunMovie","Sep 8, 2023 · 6:46 AM UTC",False,0,0
2,https://twitter.com/Olalekanakogun/status/1700032010587078835#m,Director Lẹykìí,@Olalekanakogun,"JAGUN JAGUN And THE CULTURE OF MISPLACED ACTIVISM.  I hardly watch movies.  But some how, I watched #JagunJagunMovie .  In the movie, while many are mesmerized with the custume, action and others, the only aspect that spoke to me is that part that I can simply describe misplaced activism.  So, what is misplaced activism?  In jagun jagun training camp, one of the soldiers, gbotija protested against the small portion of food, given to them by the agemo lady.  In his protest, he said the portion of food given to them was small, beyond the normal portion they are expected to get.   He therefore sent message of protest to agemo.  When gbotija protest reached agemo, she was infuriated and instantly went to the camp, in search of the protester.  While at the camp, Agemo asked for those who protested over the portion of food and gbotija confidently stepped forward, in the usual activist arrogance.  He spoke about the small food, which couldn't satisfy the soldiers and he emphasize that he's not scared to say the truth.  Naturally, he was punished.  In the mind of gbotija, he was being punished unjustly for speaking truth to power, but in the mind of agemo, she was being criticized irrationally for going extra mile to ensure the fighters get something to eat, no matter how little, while they are still sourcing for more food that would be sufficient at a later time.  After the punishment, Agemo had to educate Gbotija that the shortage of food was due to food scarcity, but she went extra mile to get what was supplied to the soldiers, pending when more food would be available.  She felt outraged that instead of being commended for going extra mile to provide for the soldiers amidst food scarcity, gbotija was protesting against her unjustly, claiming he was saying truth.  At the end of the day, Gbotija also realized that the person he was protesting against was actually the one who meant well.   He realized that the small portion of food from agemo, was actually a gesture from a concerned heart, not an attempt to starve the soldiers unduly.  When gbotija realized this, he apologized to agemo and they both became friends, then lovers.  The message here is actually for all of us, especially the activists.  We react to things as they appear, when in fact, they are much more to it.  Unfortunately, we don't really have the ability to seek the other side without casting aspersion, neither do we have the patience required to comprehend the whole situation.  We are quick to say we are saying truth or speaking truth to power, when infact, we may just be speaking out of ignorance, being unjust in the process.  We label people with all sorts of names, when in fact, they may probably be the best amongst us, or even better than us.  Our limited access to information, circumstance or insight, hinders our appreciation of the whole situation, but we are quick to react and jump into conclusion.  This is why some activists eventually turn friends with their former tyrant, when they eventually know them better, get to understand things better, like agemo and gbotija.  The other point is that, proactive communication may have prevented the problem in the first place.  This is why I have often maintained that Nigeria doesn't have any problem that communication couldn't solve. Communication is everything and with proactive communication, we could have averted many unnecessary situations.  If Agemo had communicated the food shortage ahead of time to the soldiers, when the small portion she struggled to get eventually came, they will appreciate her, not protest against her. But lack of adequate communication saw her efforts not appreciated.  My take away here is simple, we should move away from misplaced activism, to genuine collaborative approach to solving issues.  Those in authority should also know that, communication can solve all of our problems.  Written by: Abdulrazaq Hamzat  Profitable to direct in this era of Youthful exuberance!","Sep 8, 2023 · 6:23 AM UTC",False,1,0
3,https://twitter.com/afiyen_gunner/status/1699881936695537830#m,Tayo Taiwo,@afiyen_gunner,"Still on the movie #JagunjagunMovie  *Jagun jagun and the culture of misplaced activism*  By Abdulrazaq Hamzat  I hardly watch movies. But some how, I watched jagun jagun movie. In the movie, while many are mesmerized with the custume, action and others, the only aspect that","Sep 7, 2023 · 8:26 PM UTC",False,1,0
4,https://twitter.com/boss_ejo/status/1699811916879692239#m,#ManLikeEjoBoss👑🇳🇬,@boss_ejo,Ibeg stop judging people who loves money. If your happiness is poverty . Focus on it 😂😂😂😂😂😂  #viral #JagunJagunMovie #actor #actress #trending,"Sep 7, 2023 · 3:48 PM UTC",False,2,0
5,https://twitter.com/adedirebidemii/status/1699791912860016780#m,Bidemi Adedire,@adedirebidemii,Unpopular opinion but The end/closing credits song in @TheDimejiLateef & @realfemiadebayo's 'Jagun Jagun' is absolutely amazing! 🎵 #SoundtrackMagic #JagunJagunMovie #JagunJagun,"Sep 7, 2023 · 2:29 PM UTC",False,1,0
6,https://twitter.com/bigapplenla/status/1699390675718971652#m,APPLE  OF GOD,@bigapplenla,Notice that Bombastic side 😂😂  Why person go compare #JagunJagunMovie to #kesari 😂,"Sep 6, 2023 · 11:54 AM UTC",False,0,0
7,https://twitter.com/arisenewsdaily/status/1699290990463340977#m,Arise News Daily,@arisenewsdaily,#JagunJagunMovie,"Sep 6, 2023 · 5:18 AM UTC",False,0,0
8,https://twitter.com/arisenewsdaily/status/1699290443266007264#m,Arise News Daily,@arisenewsdaily,You do well in that #JagunJagunmovie But I get jazz o. Wicked jazz dey my hand!,"Sep 6, 2023 · 5:16 AM UTC",False,0,0
9,https://twitter.com/OjedokunDayo/status/1698870438997225757#m,Alhaji Quami👳🏽‍♂️☘️🎩,@OjedokunDayo,I found another mistake in Jagun Jagun😂🫵🏽  #JagunJagunMovie,"Sep 5, 2023 · 1:27 AM UTC",False,0,0
